anchor,positive,quality,technical_level
What has replaced mechanical controls in modern systems?,"Mechanical controls have been replaced by electro- nic controls, for example analog technology. Electronic controls are being replaced by software controls. The software runs on electronic components (computer elements like CPU, memory, etc.), but the functionality of such components is not increasing; they are limited",True,2
What kind of operations include basic mathematical processes and decision-making functions?,"4 to logical and arithmetic operations, storage and data transmission (networks).",True,4
What type of programming is used to configure the connections between logical operators in FPGAs?,"Besides the traditional sequential software which is executed on a CPU, the next variant is emerging: FPGA programming (Free Programmable Gate Array programming). FPGAs are chips that provide millions of unconnected elementary logical operators (AND, OR, XOR, register). These operators are inter- connected by programming. A complex functionality can be implemented by interconnecting such simple logical operators. The connections are configured not by hand but by a compiler for a special programming. ",True,3
What programming languages are mentioned as examples for designing spacecraft subsystems?,"Control 4 Implemented in 100% Figure 4.6.3: Historical 0% timeline of the applica-mechanics, hydraulics,pneumatics4 Subsystems of Spacecraftlanguage, for example VHDL and Verilog. Then this program is translated (synthesized) to FPGA connections.",True,3
What advantages does software offer in space applications compared to hardware?,"The shifting of functionality toward software is extremely interesting in space applications, because software has no mass, needs no space, uses no power and can be reloaded from the ground. But the intro- duction of software often presents more difficulties than expected. In many (small) space projects there are barely any software engineers; hence, the complexity of software development is underestimated, almost without exception. ",True,3
What are the typical impacts of neglecting software planning during project initiation?,As a consequence the software is neglected at the beginning of project planning and toward the end the project is always on the critical path. This usually causes substantial schedule delays and higher costs.. ,True,3
What are the different types of network configurations used to connect various devices?,4.6.1.3 Interconnection Topologies,True,2
What term describes the arrangement of interconnected computers and devices in a data management system?,"In general the data management system consists of several communicating computers which are connected to several input and output devices. The interconnection structure is called topology and there are countless variations of such structures. Very simple devices without their own processor must be connected directly to a computer, perhaps using an analog/digital converter, or relays. More complex devices mostly have a (simple) integrated processor which implements a communication protocol. Com- munication with such devices is performed using. ",True,2
What are the two platforms mentioned for implementing software control technologies?,Implemented in software (CPU)Implemented in software (FPGA)tion periods for different 1900 control technologies (not true scale).CHO4.indd Sec1:366 &Satellites in 2008/20092/24/09 3:43:40 PM 4.6 Data Managementmessages. Figure 4.6.4 shows some possibilities to connect devices to on-board computers.,True,2
What is a significant drawback of utilizing a star configuration in network design?,"With the star topology every device has its private connection to/from the on-board computer. This makes communication easier and safer, because the failure of a device has no effect on the communication with the other devices. The disadvantage is the large number of connections required.",True,2
What is a potential drawback of a bus topology in terms of device failure?,"Abus topology (e.g., CAN bus) is more economical, it needs only one connection to/from the on-board computer for many devices, and the number of lines is minimal. The disadvantage is that the failure of one device could block the entire communication exchange in the system. Hence, the bus has to be redundant. Furthermore, it should be possible to separate defec- tive devices from the bus in case of failure. ",True,3
What is required for all devices in a network regarding communication protocols and speeds?,Another disadvantage is that all devices must have the same communication protocol (and the same speed). There are many standardized buses which are supported by. ,True,3
What communication network is frequently employed in embedded systems and originated in the automotive sector?,"many devices. Within embedded systems the CAN bus (originally from the automotive industries) is used very often.However, the world is not black and white; mixtures of both topologies are mostly used.",True,3
What type of hierarchy exists between computers and devices in a fault-tolerant system?,"For fault tolerance reasons the on-board computer consists mostly of several identical computers communicating with each other. The interconnec- tion structure between communicating computers is based on a different principle than the interconnection between computers and devices. Here a master-slave hierarchy exists. The computer (master) controls and the device (slave) reacts accordingly. Within the interconnection structure for computers, all nodes (computers) are equal partners. ",True,3
What types of interconnection structures are mentioned for on-board computers?,"Figure 4.6.5 shows some possibilities for interconnection topologies bet- ween on-board computers. Within star topologies and rings, redundant connections are often implemented as well.. ",True,2
What are the different topologies used for connecting devices to an on-board system?,@evice) Device) DeviceDevice) (Device) (DeviceBus topology Device Device) (Device) (DeviceMixed topology oe On-board computer edo? Star RingFigure 4.6.4: Topologies to con- nect devices to an on-board com- puter (NC = Node Computer).Figure 4.6.5: Topologies for the interconnection of communicating computers (NC = Node Computer).Total interconnection2/24/09 3:43:41 PM CH04.indd Sec1:368,True,2
What is the primary function of an on-board computer in technical systems?,4.6.2 On-board Computer,True,3
What are the primary hardware functionalities of the on-board computer as described?,"Itis often postulated that the functions of the on-board computer are telecommanding, telemetry, attitude control, navigation, surveillance, payload interface, autonomy, etc. But if one takes a closer look, there is no module “surveillance” or “navigation” in the block diagram of the on-board computer. The hardware functionality is limited to logical/arithmetic opera- tions, storage and data/signal transmission (networks), and these are precisely the modules one finds in the hardware design.. ",True,3
What type of integrated circuit allows for customization and can integrate various functions in one chip?,"Although there are countless hardware archi- tectures, a typical computer can be characterized as shown in Figure 4.6.6. This is a diagram of a single computer which is designated as part of a network of communicating computers. As said earlier, the on-board computer mostly consists of several such communicating computers.4.6.2.1 Free Programmable Gate Arrays and System on One Chip",True,4
What type of logical operators are found in FPGAs?,"Recall that FPGAs are chips that provide millions of unconnected elementary logical operators (AND, OR, XOR, register). These operators are interconnected by programming. A complex function can be implemen- ted by interconnecting such simple logical operators [4.6.2], [4.6.3], [4.6.4].",True,2
What makes field-programmable gate arrays particularly appealing in the realm of input/output and connectivity?,"Especially in the area of input/output (I/O) and network interfaces, FPGAs are extremely interesting,",True,3
What does ALU stand for in computer architecture?,Figure 4.6.6: Typical block diagram of a (node) com- puter. Abbreviations: CPU = Central Processor Unit; ALU = Arithmetic and Logic Unit; MMU = Memory Management Unit; Mem-Int = Memory In- terface; ROM = Read-Only Memory; EPROM = Erasable Programmable Read-Only Memory; RAM = Random Ac- cess Memory (Read/Write).,True,2
What are the four primary systems that form the essential components of a spacecraft?,4 Subsystems of Spacecraft,True,3
What flexibility do FPGAs provide regarding pin functions and internal operations?,"because the variability of interfaces is huge and available components offer almost exactly all required interfaces. With FPGAs it is possible to freely define the function of every single pin and the internal func- tionality; it is also possible to program the complete I/O and network structure in one single chip, else one would need many chips and a large physical interface board (see Figure 4.6.7).. ",True,4
What types of operations are particularly suitable for implementation in FPGAs due to their repetitive nature?,"Besides the I/O functionality, it is common to shift filter and (pipeline) data processing into FPGAs. Operations which are executed repeatedly for a data stream are predestined for FPGA implementation.",True,3
What is the concept of integrating an entire computer onto a single chip called?,"Nowadays, FPGAs are so big that complete CPUs can be implemented inside them. Some manufacturers offer the possibility to synthesize different CPUs [4.6.3], [4.6.4], while others integrate up to four fixed CPUs into the FPGA chip [4.6.2]. It thereby becomes possible to think about SOC (System on One Chip). The target is to integrate the complete computer into a single chip. Figure 4.6.8 shows two approaches toward SOC.. ",True,2
What is a common requirement when utilizing FPGAs for complete logic implementation?,"FPGAs can implement almost the complete logic of the computer, but their storage possibilities are relatively limited. With an FPGA solution one must almost always attach external memory chips. Then one can no longer speak of a “system on one chip,” but of a “system on very few chips.” Alternatively, there are different manufacturers [4.6.8] which integrate CPU, flash (ROM), RAM, a network connection, different standardized I/O buses, and output signals in one single chip. They try to create a generic architecture usable for many different applications.. ",True,3
What structure is fully implemented in an FPGA in the typical block diagram of a computer?,2/24/09 3:43:42 PM 4.6 Data ManagementFigure 4.6.7: Typical block diagram of a (node) com- puter in which the complete 1/0 structure is implement- ed in a FPGA.4.6.2.2 Computers for Space Applications,True,2
What are some challenges associated with shielding embedded systems from radiation in space applications?,"So far we have made no difference between “normal” embedded systems and on-board computers for space missions. Extra precautions against radiation effects must be implemented for space applications. The easiest solution would be to block the radiation, for instance with a thick box of lead. However, this is not practicable because of the huge mass and the space requirements for the box. In addition, some radiation particles (ions) carrying very high energy. ",True,3
What are potential architectures for integrating multiple functions onto a single semiconductor chip?,"Figure 4.6.8: Possible architectures for a “sys- tem on one chip” (SOC).could penetrate the box. Hence, other protective precautions are necessary.",True,2
What types of damage can miniaturized circuits experience from cosmic radiation?,"Cosmic radiation consists of protons, alpha particles, heavy ions, electrons and neutrons. In miniaturized circuits three kinds of damage can be caused by these particles [4.6.9]: totally ionizing dose (TID) damage, single event upset (SEU) and single event latchup (SEL).",True,3
What effect does TID have on the lifespan of silicon components?,The TID causes rapid aging of the silicon com- ponents. The power consumption and the internal2/24/09 3:43:43 PM CH04.indd Sec1:370,True,2
What is the unit of measurement for radiation absorbed dose mentioned in the context?,"noise therefore rise slowly but continuously, until the signal-to-noise ratio is so bad that the signal can no longer be clearly distinguished from the noise. If this occurs the component has failed permanently. The TID is measured (even today) in krad (kilorads of radiation absorbed dose, or the energy dose). The radiation intensity depends on the orbit. For low Earth orbits (below 800km) one can assume 3 to 10 krad per year if protection is provided by a2mm aluminum shield. ",True,2
What is the maximum radiation dose that normal electronic components can withstand?,"Normal electronic components survive approximately 30krad and space-certified components (radiation hardened) are designed for a dose of 300 krad. For comparison, | krad is deadly for humans.. ",True,2
What are the potential consequences of a single event upset in memory cells?,"As mentioned, SEU and SEL are both single event effects (SEEs). They are caused by single high-energy particles impacting or penetrating the semiconductor material. The adjacent material absorbs the energy and an ionization track is created. If this happens within a flip-flop switch or a memory cell, a change of state might occur (from 1 to 0 or from 0 to 1). This causes a data corruption by SEU. SEUs cause only data damage; the component itself will not be damaged. ",True,3
What is the recommended daily threshold of SEUs to anticipate for data safety?,"One must expect 10 SEUs per day. To prevent this data damage, one has to implement some kind of redundancy code or create redundant data.. ",True,2
What phenomenon can lead to permanent damage of electronic components through current spikes?,SELs are current spikes which can damage com- ponents permanently. A charged particle can cause an ion track in the substrate generating a very highDecoder| | ROM | —— Redundant codes EPROM FPGA replication FLASH voter ae4 Subsystems of Spacecraft,True,2
What is the maximum time allowed to switch off a device to prevent burning the chip surface?,"current such that the chip surface is burnt. SELs are rare; several years can pass before one appears. To avoid damage, the circuit has to be interrupted im- mediately. In less than 1 ms the device (power) has to be switched off.",True,3
What is the suggested method to protect circuits from SEL after its detection?,"Figure 4.6.9 gives a summary of measures for designing safe space computers. The only possible precautions against TID are to screen the parts used and to select robust hardware components. Data redundancy helps in recognizing corrupted data and correcting it as a measure to counteract SEUs. As protection against SEL, the complete circuit must be switched off within a millisecond after detection of the occurrence. A couple of seconds later it can be switched on again.. ",True,3
What is a recommended method to identify power spikes in circuit components?,SEL can cause a sudden power spike which under certain circumstances might be only a little higher than the normal current. The latchup protection (current monitoring) must recognize such spikes and must switch off everything immediately. To be able to recognize the spike it is advisable to monitor all components separately.,True,3
What method can be used to ensure data integrity by recognizing and correcting corruption in memory?,Data in memory and in FPGA registers can be protected by redundancy. Redundant codes (EDC codes) allow data corruption to be recognized and 1 bit per entry (register) to be corrected. The simplest way to verify the correct execution of the logic is to replicate it two or three times on-board and compare all results.,True,2
What types of protective measures can be implemented to safeguard computers from cosmic radiation effects?,Figure 4.6.9: Measures to protect a computer against the effects of cosmic radiation.2/24/09 3:43:44 PM 371,True,2
What method does LEON-FT use to ensure reliability in processing operations?,"With standard CPUs one cannot expect such protective measures, hence ESA has developed the LEON-FT processor [4.6.12]. Inside LEON-FT every function and every register is replicated three times (TMR, Triple-Module Redundancy). After every operation all three results are compared; if one is different, it is immediately corrected. LEON-FT is safe, but slow. Another alternative is to use standard COTS (Commercial Off The Shelf) processors and to build the required redundancy externally or by replication in software. ",True,3
What role do watchdogs play in monitoring function execution time?,"For example, two or three processors can gather their results and compare them. With the software one can execute every function two or three times and compare the results. It is more economical to check only results against plausibility rules. A very simple and economical measure is to use watchdogs; for every function a maximum allowable duration is defined. The watchdog has to be triggered within this time period, otherwise it will execute a reset of the computer. After this a recovery action has to take place.. ",True,3
Why is it challenging to evaluate software in the context of spacecraft subsystems?,"Software is only information and has no physical representation or properties. Because the subsystems of a spacecraft are measured according to their physi- cal properties (mass, space, power consumption, life expectations, imaging, etc.), it is very difficult to treat",True,3
What challenges arise from the lack of universally accepted metrics for evaluating software properties?,"software as a subsystem like all the others. In addition, there are no unequivocal metrics for software. Today there are approx. 400 metrics to measure the properties of software, but they are very controversial and are not generally accepted.",True,3
How does software complexity compare to mechanical components in space missions?,"All this makes software rather unfathomable. One only knows that software is immaterial, abstract, complex, everywhere, big, expensive and error prone. Dealing with mechanical components, one can re- cognize complexity and thorough craftwork at first sight. With software it is not so simple. Nevertheless, software is at the core of every space mission and the fastest growing component measured in terms of complexity and development cost. ",True,3
What percentage of a car's additional value was derived from software in 2004?,"The same applies to the car industry. While 22% of the added value of a car in 2004 was contributed by software, this value is expected to increase to 36% in 2009.. ",True,2
What are some common issues that can occur with software applications?,4.6.3.1 Problems with Software,True,2
How often does chip capacity double according to the discussed advancements in technology?,Progress in information technology is rapid: chip capacity doubles every 18 months and the systems can be made smaller. The communication band- width doubles every 12 months; the systems can thus become quicker and quicker. Software complexity and size double every 10 months. Software grows faster than the hardware capacity. It is predicted that the time will come when systems will grow in physical size and become slower instead of faster (see Figure 4.6.10).. ,True,2
How often does the communication bandwidth increase twofold?,"Chip capacity doubles every 18 monthsBandwidth doubles every 12 monthsEmbedded software size doubles every 10 monthsFigure 4.6.10: Growth of chip capacity, communica-tion bandwidth and software complexity (logarithmic scale).2/24/09 3:43:44 PM CHO4.indd Sec1:372Table 4.6.1: Software complexity of selected systems in lines of code (LOC).System Software Complexity",True,1
Which satellite has a line of code count of 90 K-LOC?,BIRD satellite 90 K-LOC TerraSAR satellite 90 K-LOC Control of A310 400 K-LOC Cellular phone 1 M-LOC Cars 2 M-LOC Control of A340 20 M-LOC SAP 30 M-LOC Linux 30 M-LOC Windows 45 M-LOC,True,1
What phenomenon occurs when software complexity increases faster than its functionality?,"Software complexity grows much faster than its functionality. For example, Linux grew within three years from 15 million lines of code (LOC) to 30 mil- lion LOC (M-LOC). Windows 2000 has grown from 20 M-LOC to 45 M-LOC for XP (the size of Vista is a secret). However, the functionality has not doubled, only the complexity. Until this day there is no measure for complexity, hence lines of code are used. ",True,2
What is the estimated maximum code length a human can fully comprehend?,"For com- parison, the human capacity to completely understand a program code probably lies at 5000 LOC (5 K-LOC) [4.6.5] (see Table 4.6.1).. ",True,2
What is the primary challenge faced in software development regarding its complexity?,"It becomes clear that no one can handle this com- plexity completely; hence, it is currently not possible to develop perfect software. The biggest challenge in software development is to reduce and control the complexity.",True,2
What challenge arises from the interdisciplinary collaboration in spacecraft software development?,"Besides complexity, the next big problem with software development is the required know-how of the developers. Spacecraft software contains the total knowledge of the complete mission. This is the combined knowledge of the involved computer scientists, electrical engineers, mathematicians, physi- cists, mechanical engineers and space engineers. This interdisciplinary collaboration often introduces more difficulties than originally expected, because all these specialists speak different (technical) languages and it takes a long time to understand all the technical aspects.. ",True,3
What can often be attributed to many failures in space missions?,"Software is decisive for the success or failure of a space mission. Many mission failures can be tra- ced back to software errors. Software is usually the4 Subsystems of SpacecraftObserved at initiation Percentage of functionality of developmentFigure 4.6.11: Typical misjudgment of software development times.contribution finished last, and the costs for software",True,2
What factors can cause development costs to exceed initial estimates significantly?,development are often twice as high as expected or,True,3
What factors contribute to the challenges faced by software developers in managing software complexity?,"even higher. The reason is not that software developersare especially negligent, but that:e Software complexity outstrips human mental capacity.e Software is still neglected in project planning and is totally underestimated.e The available time for software testing is usually too short.",True,3
What percentage of software development costs is typically consumed by testing in critical software?,"Normally the testing of critical software consumes up to 80% of the software development costs. The testing of software functionality is the most difficult and time-consuming test for every space mission, because it contains the complete spacecraft behavior. The solution is not to avoid software implementation, but to reduce the complexity, and not to underesti- mate the complexity. Figure 4.6.11 shows the typical misjudgment of software development times.. ",True,3
What techniques can be used to minimize the complexity of software projects?,4.6.3.2 An Example for Reducing Software Complexity,True,4
What conflict arises when attempting to reduce complexity in modern aircraft and satellite software?,"Modern aircraft and rockets no longer have physical or mechanical stability. Without software support it is no longer possible to fly them. The complex functionality of modern satellites cannot be imple- mented without software. As mentioned previously, the solution is not to do without software, but rather to reduce its complexity and not to underestimate it. But reducing complexity is in direct conflict with. ",True,5
How can complexity be reduced in software systems based on the BIRD satellite example?,2/24/09 3:43:45 PM 4.6 Data Managementthe increasing demands being placed on that very software. The example of the BIRD satellite will be used to show how complexity can nevertheless be reduced.,True,4
What were the main objectives behind developing the BIRD Operating System?,"With the goal of reducing complexity, the BIRD Operating System (BOSS) [4.6.6] was originally deve- loped for the BIRD mission. BOSS and its middle- ware (see Section 4.6.3.4) were developed with the goals of achieving the highest possible reliability and implementing a level of complexity which cannot be reduced further. For every function there is a theoretical lower limit of complexity required for its realization. ",True,2
What is the challenge in achieving an optimal balance of complexity in design processes?,"It cannot be made simpler without de- stroying the functionality, but it can always be made more complex. Finding the sweet spot of no longer reducible complexity is extraordinarily difficult, but remains the goal of BOSS.. ",True,2
What is the approximate line count of the BOSS code compared to typical real-time kernels?,"BOSS consists of about 4000 lines of code. Current real-time kernels consist of about 1 million lines of code. Nevertheless, BOSS and its middleware have all the functionality required to implement embedded real-time systems. In contrast to the current trend, BOSS and its middleware are getting smaller without losing functionality. The current version of BOSS has about half the lines of code of the first version, although the current functionality is higher than before. ",True,2
What is the main goal regarding the understanding of the BOSS implementation by developers?,"For every single component the question is asked whether it can be made simpler, while nobody is trying to make it more complex (or elegant). This procedure goes against the current trend. The impor- tant point is that every developer can understand the entire BOSS implementation, and does not have to assume anything as a black box.. ",True,3
What are the criteria for determining software functions during the requirements gathering process?,4.6.3.3 Software Functions and Requirements,True,3
What is the main purpose of the software responsible for data reduction and management in a payload system?,"Payload or mission science software is somehow dif- ferent from the bus control software which runs on the on-board computer. The function of the payload software is data reduction and data management. The payload software is supposed to extract information from the data provided by the sensors (e.g., cameras, radar and other sensors). These applications are mostly numerical computations or number-crunching tasks with a large amount of data. Some applications require on-the-fly data processing. This means that sensor data should be processed as soon as it is provided. ",True,3
What happens to data when its rate exceeds storage capacity?,"by the sensor, that is before the data is stored. This is the case when the data rate is too high for storage. In other cases it is possible to first store data from the sensors and then to process it in batches, maybe in the spacecraft or maybe on the ground.",True,2
List the three categories of functions typically managed by satellite bus control software for real-time operations.,"The satellite bus control software (in the on-board computer) usually fulfills mostly control and steering functions, which should be computed on a real-time basis. Typically these functions are split into three groups:",True,3
What are the stages involved in starting and preparing a system for operation?,"1. Booting, initialization and loading programs 2. Real-time operating system 3. Applications.",True,2
What is the primary function of the boot program after a power-on or reset?,"The boot program (booter) must reside in a non- volatile memory (e.g., flash or ROM). After every power-on and every reset command the boot program is activated and executed before any other function. It must initialize the hardware and then load the operating system and, if foreseen, the appropriate applications. When loading new software, the booter copies it to memory (RAM), initializes it and jumps to the start entry of the loaded software. ",True,2
What storage options are available for the operating system in this context?,"Then the loaded software takes control. The operating system can likewise be saved in the same flash memory, or the boot program can load it from the network or disk. For space applications the boot program and the operations system usually are stored on the same flash memory.. ",True,2
What role does middleware play in application communication within modern operating systems?,"The real-time operating system administers the resources of the computer, the time and the applica- tions. It controls the I/O devices using I/O drivers. Modern operating systems provide middleware which implements the communications between the appli- cations. Middleware helps make it possible for appli- cations to be developed and operated independently of each other. Without middleware the applications would have to communicate directly with each other, often by means of common variables. This method results in a strong dependence between applications, which makes the system more complex.. ",True,3
What is the primary function of user applications in spacecraft operations?,"The (user) applications run on top of the ope- rating system and middleware. They have the task to check and control the different subsystems of the spacecraft. Applications for the payload segment vary for every mission, as explained above. However, for2/24/09 3:43:46 PM CHO04.indd Sec1:374spacecraft control the following standard softwaretasks can be identified:",True,3
What initial checks are performed on subsystems after a spacecraft separates from its launcher?,"1. Initialization after Separation from the Laun- cher: For example, check the subsystems, deter- mine the orbit and deploy the solar panels after the spacecraft is stabilized. Nonvital devices (e.g. payloads) stay switched off. They are activated and tested later under the control of the ground station personnel.",True,3
What is the process of gathering and storing operational data from all subsystems called?,"2. Housekeeping: Collect and store status informati- on from all subsystems, plus other software tasks.3. Telemetry: During each pass transmit the current state of the spacecraft, the housekeeping data and payload data to the ground station.",True,2
"What is the process by which commands are received, checked, and forwarded to specific subsystems or applications for execution?","4. Command Interpreter: Receive commands from the ground station, check, interpret and forward them at the right time to the corresponding sub- system or application for execution.",True,2
What is the primary role of the time manager in a spacecraft system?,5. Time Manager: Many activities in the spacecraft are controlled by a timeline. The time manager is responsible for distributing a correct and con- sistent time throughout the entire system. The time tags from GPS messages are often used to synchronize the on-board time.,True,2
What action is taken when a significant deviation is identified by the monitoring system?,"6. Supervision Module (Surveillance): The surveil- lance module checks the current state of all vital subsystems and compares the relevant parame- ters with predefined limits which should not be exceeded during nominal operations. If a critical deviation is detected, an emergency procedure is initiated. The emergency procedure often consists of the processing of a predefined command list (safe list). ",True,3
What is the main objective of the commands listed regarding device management?,This list contains commands to switch off all unnecessary devices and to guarantee with the highest priority the survival of the vehicle.. ,True,2
What is the function of ensuring the spacecraft's orientation in attitude control?,7. Attitude Control: Orientation of the spacecraft (see Section 4.5.).8. Navigation: Determination of the orbital position and the trajectory (see Section 2.2.).9. Power Management: Checking the battery charge state and the energy balance of the complete vehicle (see Section 4.2.).,True,3
What strategies can be employed to maintain optimal temperature levels in a vehicle and prevent extreme thermal conditions?,10. Temperature Control: Taking care of the tempe- ratures within the vehicle to avoid supercooling or overheating (see Section 4.3.).,True,2
What is the role of the software updater in a spacecraft's operation?,"11. Guidance Control: Responsibility for the control of orbit maneuvers (see Section 3.3.).4 Subsystems of Spacecraft12. Software Upload: Usually during a mission the software or parts of it must be replaced by new versions. The software updater accepts new soft- ware versions (uploads) from the ground, checks them and replaces the old ones.",True,2
What does the autonomy module aim to minimize during mission execution?,13. Autonomy: The autonomy module “knows” the purpose of the mission and tries to fulfill this purpose with minimum human intervention. The autonomy module provides mission operations automation.,True,3
What are the key characteristics of programming designed for immediate system response and task prioritization?,4.6.3.4 Real-Time Programming,True,3
What are the key components that determine the correctness of real-time tasks?,"Real time does not necessarily signify a quick reaction, but it means to guarantee a reaction inside a certain time window [4.6.7]. The correctness of real-time tasks not only consists of the generation of a correct output value, but also has to be generated at the right point in time and not simply “as fast as possible,” such as an alarm clock which should ring around 06:15: its correct output is not only “riiinnnnggg,” but “riinnnggg” around 06:15, it must not be exactly 06:15:00.000; there is a response time window with a certain tolerance, for example the ring would be satisfactory between 6:12 and 6:18. ",True,3
What are the consequences of jumping too early or too late in terms of timing?,"The end of the time window is the deadline (not later). In connec- tion with real-time definitions, only the deadlines are mentioned; the beginning of the time windows is often ignored. For example, if somebody wants to jump onto a train, it is bad to jump too late (behind the train), but even worse to jump too early (in front of the train)!. ",True,2
What does the term 'real time' indicate in applications without specifying speed?,"“Real time” says nothing about speed. Some applications have very long periods and other very short periods. For example, an alarm clock which must ring at a certain time every day would be a real-time application with a period of 24 hours. A charging system which should print invoices at the end every month and mail them is likewise a real-time applica- tion with a frequency of 12 times per year. ",True,2
What is the maximum operating frequency of an electron accelerator described in the context?,"In contrast, the frequency control of an electron accelerator can be up to 1 million times per second (1 MHz). Typical control tasks in satellites have frequencies in the range of 1 Hz (not very fast).. ",True,2
What are the three phases involved in the execution of reactive tasks triggered by events or time points?,"In general computer-controlled tasks are imple- mented as parallel tasks reacting in real time. Some are time triggered as explained before, and others2/24/09 3:43:46 PM 4.6 Data Managementreact to external events (reactive tasks). The executionof reactive tasks can be split into three phases whichare activated by an event or time point:",True,2
How is the condition of the managed machinery assessed in relation to sensor data?,1. Read sensor measurements: the current state of the controlled equipment is determined.,True,2
What process involves determining the response to specific occurrences?,2. Compute: the control reaction to the events is computed.3. Address the actuators: the computed reaction is implemented as an action.,True,3
"What is the typical frequency range for steering tasks, according to the provided information?","The periods and the limitations of the time require- ments are different for steering tasks and for control tasks (see Figure 4.6.2). The steering tasks have a relatively high frequency ranging from 100 Hz up to 30 kHz (30000 times per second) but are easy to calcu- late. In space applications a frequency of 1 kHz (within the servo control of the devices) is very common. The control tasks have relatively low frequencies, but are more complicated to calculate. ",True,3
What is the typical frequency range mentioned for certain applications?,"Their frequency might range between 1 Hz and 1000 Hz. In space applications a frequency of 2Hz is usual. Thermal checks, for example, can have in contrast a period of 30 seconds (temperature changes relatively slowly).. ",True,2
What defines the time constraints for periodic tasks in a control system?,Classification of Real-Time TasksTypically a control job is split into tasks running in parallel. Some of them can run periodically (cyclic) and others aperiodically. For periodic tasks the three phases mentioned above have to fit into a given time window.,True,3
What is the purpose of the initialization function in task management?,"The aperiodic tasks are activated as sporadic tasks by asynchronous external events (interrupts) or as spontaneous reactions to internal events. All tasks have an initialization function which is called up once at system start, and a “handle” function which is called up for every activation of the task. The ongoing tasks run in the background without time requirements.",True,3
What types of computations are performed when there are no time constraints?,They execute long-time computations which are not time constrained or check system states whenever the computer is in idle mode.,True,3
What are the consequences of failing to meet fixed deadlines in time-critical tasks?,"Time-critical or hard real-time tasks have fixed deadlines or response time windows which may not be missed. If the reaction does not take place in the intended response time windows, the system fails, causing unwanted effects: for example, not switching off the heat source of a boiler before it explodes. Switching off a millisecond after this hard deadline is of no help.",True,3
How is the response time window characterized for soft real-time tasks compared to time-critical tasks?,"For the soft real-time tasks or time-sensitive tasks the response time window is not defined as strictly as for the time-critical tasks. The response time window is to be interpreted rather as a desirable time. For ex- ample, turning on a heating system if the temperature goes below 19°C is not so time critical as the case of avoiding an explosion. If it takes place some seconds or even minutes later or earlier, it does not mean that the system has failed.. ",True,2
Define the two main components of dependability in spacecraft operations.,"Spacecraft anomalies and failures have to be expected.However, the spacecraft must continue its missiondespite anomalies. This is called dependability [4.6.7].Dependability, as shown in Figure 4.6.12, consists of:e Safety: No catastrophic consequences and no danger should come from the system.e Reliability: Continuity of service without inter- ruption.",True,3
What defines the system's ability to be utilized effectively and without delays?,e Availability: Readiness of the system to be used.,True,1
What are the key elements that ensure the protection of information from misuse?,e Confidentiality: Protection against information abuse.e Integrity: Protection against information cor- ruption.Safety Reliability AvailabilityFigure 4.6.12: Pillars ofConfidentiality dependability.2/24/09 3:43:47 PM CHO4.indd Sec1:376,True,2
What is the maximum allowable failure rate for control systems where failure can lead to catastrophic consequences?,"When a failure of the control system can have ca- tastrophic or life-threatening consequences the control system has to provide ultrahigh dependability: This means a maximum of 10° failures per hour may occur, or, in other words, a maximum of one failure in 10° hours of operation is allowed. This means only one failure in 114000 years of operation! Such ultra- high dependability cannot be guaranteed with today’s technology, but many control systems have to be (and are) certified according to this measure. ",True,3
What is the acceptable rate of failures per hour for human space missions?,"In the satellite business a failure has (normally) no life-threatening consequences, only loss of high investments. For such systems a dependability of “only” 10° to 10” failures per hour is tolerable. In contrast, human space missi- ons require a dependability of 10~° failures per hour.. ",True,2
What are the two recommended actions to enhance reliability in embedded control systems?,To achieve the highest possible dependability in embedded control systems and to avoid possible failures it is recommended to:1. Minimize the probability of malformations. 2. Recognize and handle anomalies while the system is running.To satisfy these two points the three approaches listedbelow should be followed [4.6.6]:,True,3
What is most likely the main reason for malfunctions and failures during design?,1. Search for the lowest possible complexity: make the design as simple as possible because the main cause of malfunctions and failures is high complexity.,True,2
What recovery strategies can be utilized to address various anomalies effectively and securely?,2. Implement fast and safe recovery strategies for each possible anomaly.,True,3
How does redundancy management influence the design of systems during the development process?,"3. Optimize redundancy and redundancy manage- ment. It is possible to have reliable systems in spite of unreliable components. Redundancy alone does not enhance dependability; more important is redundancy management, which decisively influences the design of software and hardware from the beginning to the end of the development.",True,3
What does certification of a system as very reliable imply about its failure rate?,If a system has been certified as very reliable and safe it means only that very few failures can occur. Absolute reliability (a system which never fails) is not possible in technical systems. Always be aware of anomalies!,True,2
What are the primary sources of anomalies that can lead to undesirable results?,An error is the cause of undesirable results and can lie with people (operators) or machines. The envi- ronment can also introduce unexpected circumstances causing undesirable results. All this is summarized in the term anomalies (errors and surprises).,True,2
What are the major functional divisions within a spacecraft that enable its operation in space?,4 Subsystems of Spacecraft,True,2
What are the primary causes of mechanical errors leading to catastrophic consequences in a system?,"All components of a system are error prone. But not all components are endangered in the same way. Mechanical errors which can lead to catastrophic consequences are primarily caused by control errors. Most of them come from unpredictable situations. A second category of failures is caused by mistakes in the development (mostly in the software, because of its complexity). A third source for malfunctions is mechanical wear and tear as well as failures of elec- tronic components.. ",True,3
"How can errors be categorized based on their source, behavior, and category?",Errors can be classified as follows:e Source: development errors or runtime error e Behavior: permanent or sporadic errors e Category: value or time errors.,True,3
